"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
156,China,"46,387","51,128","57,588","63,478","72,796","83,444","89,013","97,908","91,662","109,038","120,292","124,942","131,873","130,027","126,476","133,762","135,423","132,405","129,078","128,499","133,820","141,774","153,260","158,606"
170,Colombia,"1,433",751,758,823,725,707,788,661,668,840,981,"2,096","2,381","2,545","2,649","1,701","2,356","2,434","2,595","2,866","3,252","3,559","3,976","4,282"
174,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
178,Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,199,224,259,345,229,224,213,151,158
180,"Congo, Democratic Republic Of The",85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,197,..,..,..,..,..,..,..
184,Cook Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
188,Costa Rica,924,940,"1,013","1,167","1,267","1,278","1,320","1,335","1,514","1,771","1,959","2,071","2,302","2,409","2,309","2,495","2,526","2,542","2,641","2,760","2,899","3,172","3,262","3,300"
384,Côte D'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,182,205,231,252,270,289,380,471,"1,441","1,583","1,800","1,965"
191,Croatia,"16,100","19,085","23,660","25,499","29,215","37,226","40,129","41,737","42,857","44,974","45,762","47,733","52,271","51,336","47,573","49,006","49,969","47,185","48,345","51,168","55,858","57,587","59,238","57,668"
192,Cuba,745,"1,004","1,170","1,416","1,603","1,774","1,775","1,686","1,906","2,049","2,319","2,221","2,152","2,348","2,430","2,532","2,716","2,847","2,862","3,014","3,540","4,009","4,654","4,712"
