"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 3.1: Outbound tourism - Departures of visitors (overnight visitors -tourists- and same-day visitors -excursionists-) - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
344,"Hong Kong, China",..,..,..,"47,594","53,144","58,901","61,096","64,540","60,936","68,903","72,300","75,812","80,682","81,911","81,958","84,442","84,816","85,276","84,414","84,519","89,082","91,758","91,304","92,214"
348,Hungary,"13,083","12,064","12,173","12,317","10,622","11,065","11,167","12,966","14,283","17,558","17,759","16,597","17,056","17,162","16,640","16,082","16,634","16,143","16,038","16,340","17,276","18,895","20,297","22,805"
352,Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
356,India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
360,Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
364,"Iran, Islamic Republic Of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,698","6,620","9,007","10,543","7,243"
368,Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
372,Ireland,"2,547","2,733","3,053","3,330","3,576","3,783","4,216","4,634","4,929","5,409","6,113","6,848","7,713","7,877","7,047","6,917","6,514","6,600","6,579","6,676","7,094","7,646","8,171","8,643"
376,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
380,Italy,..,..,"40,196","42,431","42,390","44,628","43,611","44,660","46,357","40,400","43,407","46,369","49,166","54,421","54,839","55,304","52,617","53,338","52,633","55,169","57,418","57,480","60,042","61,195"
388,Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
392,Japan,"15,298","16,695","16,803","15,806","16,358","17,819","16,216","16,523","13,296","16,831","17,404","17,535","17,295","15,987","15,446","16,637","16,994","18,491","17,473","16,903","16,214","17,116","17,889","18,954"
400,Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,288","2,466","3,086","2,194","1,780","1,744","1,407","1,633","1,745",..,..
398,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,"3,688","4,544","4,330","5,423","6,019","8,020","9,066","10,144","10,450","11,303","9,756","10,261","10,646"
404,Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
296,Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
408,"Korea, Democratic People'S Republic Of",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
410,"Korea, Republic Of","3,819","4,649","4,542","3,067","4,342","5,508","6,084","7,123","7,086","8,826","10,080","11,610","13,325","11,996","9,494","12,488","12,694","13,737","14,846","16,081","19,310","22,383","26,496","28,696"
414,Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
